offerId,model,organization,provider,apiModelId,status,inputPriceUsdPerMillion,cachedInputPriceUsdPerMillion,outputPriceUsdPerMillion,contextWindowTokens,maxOutputTokens,functionCalling,structuredOutputs,promptCaching,batchApi,lastVerifiedAt
offer-google-gemini-3-flash,Gemini 3 Flash Preview,Google,Google AI Studio API,gemini-3-flash-preview,preview,0.5,0.05,3,1048576,,true,true,true,true,2026-08-02
offer-google-gemini-2-5-pro,Gemini 2.5 Pro,Google,Google AI Studio API,gemini-2.5-pro,active,1.25,0.125,10,1048576,,true,true,true,true,2026-08-02
offer-google-gemini-2-5-flash,Gemini 2.5 Flash,Google,Google AI Studio API,gemini-2.5-flash,active,0.3,0.03,2.5,1048576,,true,true,true,true,2026-08-02
offer-google-gemini-2-5-flash-lite,Gemini 2.5 Flash-Lite,Google,Google AI Studio API,gemini-2.5-flash-lite,active,0.1,0.01,0.4,1048576,,true,true,true,true,2026-08-02
offer-mistral-small-4,Mistral Small 4,Mistral AI,Mistral API,mistral-small-2603,active,0.15,0.015,0.6,256000,,true,true,true,true,2026-08-02
offer-mistral-medium-3-5,Mistral Medium 3.5,Mistral AI,Mistral API,mistral-medium-3-5,active,1.5,0.15,7.5,256000,,true,true,true,true,2026-08-02
offer-mistral-large-3,Mistral Large 3,Mistral AI,Mistral API,mistral-large-2512,active,0.5,0.05,1.5,256000,,true,true,true,true,2026-08-02
offer-mistral-ministral-3b,Ministral 3 3B,Mistral AI,Mistral API,ministral-3b-2512,active,0.1,0.01,0.1,256000,,true,true,true,true,2026-08-02
offer-mistral-ministral-14b,Ministral 3 14B,Mistral AI,Mistral API,ministral-14b-2512,active,0.2,0.02,0.2,256000,,true,true,true,true,2026-08-02
offer-mistral-codestral-2508,Codestral,Mistral AI,Mistral API,codestral-2508,active,0.3,0.03,0.9,128000,,true,true,true,,2026-08-02
offer-cohere-command-a,Command A,Cohere,Cohere API,command-a-plus-05-2026,active,2.5,,10,256000,8000,true,true,,,2026-08-02
offer-cohere-command-r-plus,Command R+,Cohere,Cohere API,command-r-plus-08-2024,active,2.5,,10,128000,4000,true,true,,,2026-08-02
offer-cohere-command-r,Command R,Cohere,Cohere API,command-r-08-2024,active,0.15,,0.6,128000,4000,true,true,,,2026-08-02
offer-cohere-command-r7b,Command R7B,Cohere,Cohere API,command-r7b-12-2024,active,0.0375,,0.15,128000,4000,true,true,,,2026-08-02
offer-cohere-command-a-plus,Command A+,Cohere,Cohere API,command-a-plus-05-2026,active,,,,128000,64000,true,true,,,2026-08-02
offer-xai-grok-4-5,Grok 4.5,xAI,xAI API,grok-4.5,active,2,0.3,6,500000,,true,true,true,true,2026-08-02
offer-xai-grok-build-0-1,Grok Build 0.1,xAI,xAI API,grok-build-0.1,active,1,0.2,2,256000,,true,true,true,true,2026-08-02
offer-xai-grok-4-3,Grok 4.3,xAI,xAI API,grok-4.3,active,1.25,0.2,2.5,1000000,,true,true,true,true,2026-08-02
offer-xai-grok-4-20-reasoning,Grok 4.20 Reasoning,xAI,xAI API,grok-4.20-0309-reasoning,active,1.25,0.2,2.5,1000000,,true,true,true,true,2026-08-02
offer-xai-grok-4-20-non-reasoning,Grok 4.20 Non-reasoning,xAI,xAI API,grok-4.20-0309-non-reasoning,active,1.25,0.2,2.5,1000000,,true,true,true,true,2026-08-02
offer-deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,DeepSeek API,deepseek-v4-flash,active,0.14,0.0028,0.28,1000000,384000,true,true,true,,2026-08-02
offer-deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,DeepSeek API,deepseek-v4-pro,active,0.435,0.003625,0.87,1000000,384000,true,true,true,,2026-08-02
offer-groq-llama-3-1-8b,Llama 3.1 8B,Meta,GroqCloud API,llama-3.1-8b-instant,active,,,,131072,131072,,,,true,2026-09-19
offer-groq-llama-3-3-70b,Llama 3.3 70B,Meta,GroqCloud API,llama-3.3-70b-versatile,active,,,,131072,32768,,,,true,2026-09-19
offer-groq-gpt-oss-120b,GPT OSS 120B,OpenAI,GroqCloud API,openai/gpt-oss-120b,active,0.15,,0.6,131072,65536,true,true,,true,2026-08-02
offer-groq-gpt-oss-20b,GPT OSS 20B,OpenAI,GroqCloud API,openai/gpt-oss-20b,active,0.075,,0.3,131072,65536,true,true,,true,2026-08-02
offer-groq-whisper-large-v3,Whisper Large V3,OpenAI,GroqCloud API,whisper-large-v3,active,,,,,,,,,true,2026-08-02
offer-groq-whisper-large-v3-turbo,Whisper Large V3 Turbo,OpenAI,GroqCloud API,whisper-large-v3-turbo,active,,,,,,,,,true,2026-08-02
offer-together-qwen-3-7-max,Qwen3.7 Max,Qwen,Together AI,Qwen/Qwen3.7-Max,active,1.25,,3.75,,,,,,true,2026-08-06
offer-together-qwen-3-5-397b,Qwen3.5 397B A17B,Qwen,Together AI,Qwen/Qwen3.5-397B-A17B,retired,0.6,,3.6,262144,,true,true,,true,2026-08-06
offer-together-qwen-3-6-plus,Qwen3.6 Plus,Qwen,Together AI,Qwen/Qwen3.6-Plus,active,0.5,,3,1000000,,,,,true,2026-08-02
offer-together-qwen-3-5-9b,Qwen3.5 9B,Qwen,Together AI,Qwen/Qwen3.5-9B,active,0.17,,0.25,262144,,true,true,,true,2026-09-19
offer-together-deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,Together AI,deepseek-ai/DeepSeek-V4-Pro,active,1.74,0.2,3.48,1000000,384000,true,true,true,,2026-08-06
